ID videa;ID článku;views;SUM(time)
370627;54476;1;158
370772;54828;3;1332
370914;54676;5;3627
371266;55381;7;1227
371720;55220;1;121
371876;55317;2;263
371935;55295;2;880
372106;55451;1;40
372180;55500;1;60
372251;0;1;12
372371;55638;1;192
372395;55639;5;5162
372417;55681;1;30
372430;55686;10;994
372513;0;1;47
372537;55932;2;418
372645;55920;11;1993
372682;56733;18;20940
372694;55981;114;26692
372824;55860;1;43
372968;null;2;28
373259;56187;3;1662
373272;56210;12;3330
373306;56192;367;15322
373367;56252;12;2242
373595;56586;28;14450
373605;56271;1;67
373774;56308;4;1495
374053;56390;4;242
374090;56433;1;31
374339;56544;4;181
374352;56579;2250;371928
374376;56543;5;812
374423;56533;24;1300
374447;56530;39;4182
374459;56595;6;5776
374506;56616;7;1218
374592;null;21;808
374722;56641;88;7678
374842;56725;5;6910
374866;56743;85;7715
374974;56806;281;222235
374986;56816;184;6623
375157;56870;167533;13812582
375204;56897;16463;224390
133021;55464;3;237
137595;30301;1;560
144538;31624;1;850
145307;31765;1;50
151244;32932;1;390
159697;34258;1;183
165130;35103;1;40
167458;35420;1;130
169871;35780;2;70
172553;36250;1;370
321283;40313;1;46
324452;56202;2;1482
325257;40903;1;110
328928;41346;1;330
336822;42598;1;53
337221;42708;1;130
339060;42957;1;35
339537;43081;1;129
339968;56533;39;1986
341737;43390;1;30
344201;43831;2;794
344573;43871;7;3183
345126;43951;1;NULL
346363;44164;1;49
347193;44420;3;3061
347563;44393;2;20
348236;44117;1;130
348692;44573;1;58
351205;45418;1;610
352993;46130;1;NULL
355098;46549;1;871
356681;46947;1;80
357222;47211;1;650
357508;47145;1;59
359970;48350;3;1420
361439;48363;1;20
363229;48858;1;69
364753;49389;2;601
365546;50033;1;80
366518;50876;37;57680
366998;51468;3;360
367121;51688;1;100
367289;51923;3;989
367515;52379;32;27423
367887;52436;1;NULL
368237;52677;2;180
368884;53192;1;60
368955;53222;1;42
368979;53240;1;58
369234;53448;9;5222
369246;53384;1;140
369569;53633;1;32
369832;53836;17;2958
370209;54140;1;130
370354;54229;3;828
370437;54292;1;20
370736;54546;1;220
370748;54506;1;50
370988;54764;12;8087
371088;54816;2;420
371160;55058;4;5254
371196;54867;2;170
371505;55096;1;175
371637;55191;2;188
371721;55227;1;80
371804;55364;14;11566
371841;55291;3;256
371924;55275;1;50
371973;55382;2;168
372000;55390;1;40
372107;55481;15;5782
372311;55576;10;11822
372323;55678;1;990
372406;55726;2;290
372502;55670;1;70
372587;55804;1;79
372683;55928;3;210
372695;55980;141;64102
372717;55910;28;27043
372850;56032;8;4978
372908;56043;7;1580
373021;56057;2;207
373104;55944;4;787
373116;56125;2;173
373224;56155;1;49
373273;56194;125;44148
373523;56256;3;751
373535;56248;1;52
373559;56275;6;5020
373871;56316;5;182
373954;56320;1;171
373966;56333;3;38
374078;56421;1;20
374328;56549;119;19221
374377;0;13;427
374412;56561;14;798
374436;56577;63;20140
374461;56600;5;186
374581;56634;161;177662
374603;56630;54;2514
374640;56805;10828;6424890
375205;56894;6032;141100
127205;27891;1;70
127815;28054;1;150
128790;28356;1;560
139781;31082;1;60
150726;32823;1;180
150775;34402;1;123
150822;32838;1;48
151316;32955;1;230
151867;41496;2;182
152864;48566;1;70
157250;33922;1;20
157943;34015;1;49
160889;34433;1;48
165106;35188;1;262
165334;35121;1;135
168253;49847;4;370
172804;36208;1;50
173754;56593;2;234
178654;37280;1;10
182500;37865;1;10
185646;38477;0;30
187017;38636;1;80
189454;39108;1;28
26131;7233;1;130
320657;40201;1;660
329519;43090;1;NULL
331398;41797;25;854
333103;42109;1;20
337222;42708;1;1575
337317;42679;2;68
342113;56148;1;40
342377;43513;2;270
342640;43553;2;150
343229;43630;1;31
343648;43714;1;37
344179;43805;2;181
345032;44002;1;610
345115;43949;4;548
345595;44063;1;651
348536;44573;12;7232
349462;53836;8;2106
351351;45503;5;650
351924;45584;1;220
354137;46264;1;130
355195;46570;4;258
355935;46721;2;1260
357713;47218;1;380
358089;47350;1;710
358303;47254;3;5520
358340;47455;5;1130
358842;47567;1;1590
358950;47591;3;2124
359108;47402;2;1976
360743;48096;1;220
360767;47945;1;1494
361860;48464;1;70
362222;48852;1;359
362449;48724;3;3864
362653;48768;1;346
363890;49006;7;689
364119;48189;1;390
364634;49125;5;645
364729;56680;510;199694
364742;49942;2;400
365273;49822;2;48
365559;50030;2;61
365726;50174;2;212
365810;50286;1;47
365917;56654;412;13200
367014;56745;53;5234
367589;52331;1;60
367590;52288;4;2379
367636;52274;1;37
367661;52272;1;90
367707;52324;1;137
367923;52454;1;30
368143;52645;1;1580
368430;52826;1;74
368442;52788;1;150
369176;53414;1;210
369595;53657;1;110
369630;53742;7;1695
369808;53819;1;154
370068;54021;34;52911
370296;54189;3;405
370774;54827;1;473
370870;55001;2;610
371053;54772;1;150
371065;53650;2;40
371090;54786;1;60
371124;54811;1;34
371185;54848;102;193390
371220;54870;1;970
371472;55071;5;5572
371699;55234;5;2020
371734;55217;31;79991
371829;55377;5;5110
371913;56041;194;216296
372025;55394;92;7014
372037;55408;1;130
372108;55488;7;956
372157;null;1;59
372182;55435;17;13342
372336;55585;1;NULL
372373;55493;1;179
372419;55687;1;100
372432;55625;2;20
372444;55669;2;150
372660;56150;47;40630
372672;55890;1;246
372696;55984;84;19616
372706;55964;3;408
372755;55956;2;40
372767;56005;8;3524
372780;55965;1;59
372814;56004;4;242
373034;56059;4;1842
373536;56253;1;58
373620;54570;2;146
373740;56295;3;408
374067;56413;1;69
374163;56538;14;3460
374175;56488;6;480
374187;56503;3;675
374209;56496;5;508
374210;56489;2;118
374305;56525;19;1202
374329;56540;1;220
374342;56535;6;318
374366;0;3;160
374462;56573;7;166
374582;56620;6;275
374594;null;26;898
374736;56697;63;4430
374868;56714;75;2815
374893;56718;140;6204
374964;56773;861;16845
375160;56869;41265;15992287
375172;56896;5164;125915
128443;28244;1;61
132768;29525;2;210
133214;29647;1;60
135592;30035;2;164
149967;32621;1;112
154273;32863;1;34
155639;33636;3;164
159411;35780;1;95
180365;37576;1;30
30325;8844;1;251
318314;39875;1;31
318505;39912;1;30
320323;56525;4;294
321381;40325;1;321
326004;41016;2;1740
328201;41279;6;136
331147;41754;2;3144
335923;42462;1;241
337211;42656;1;200
338053;42800;2;3140
339169;42991;1;41
341619;43357;1;20
343399;43660;66;3819
343625;43688;1;190
344778;43915;2;2832
345846;44119;2;1390
346593;44213;2;1160
346855;44253;2;110
347673;44408;2;847
348537;44616;1;320
349463;44883;1;58
350355;45517;2;2070
351124;45382;1;545
352444;45779;1;518
355040;46499;1;244
355064;47267;4;900
355135;46558;1;41
356193;46971;1;1571
356384;47094;1;269
356933;47014;1;120
358831;47561;1;69
359195;47685;1;790
359911;47855;1;718
360719;48094;1;271
360768;48076;2;75
360972;48115;1;1544
361562;48382;1;NULL
362211;48533;1;20
363148;48912;1;340
364290;49163;1;70
364564;49272;1;48
365274;49825;1;1590
365441;50524;3;4308
366724;51156;3;1708
367409;52044;1;40
367529;52430;1;1610
367890;52441;1;35
367997;52535;1;NULL
368132;52604;7;3450
368227;52692;5;5240
368288;52784;1;195
368431;52823;2;254
369319;53568;1;570
369439;55919;5;379
369511;53570;2;552
369560;53647;4;132
369584;53663;4;358
369930;53941;7;2610
370021;54008;1;10
370045;54011;1;90
370116;54818;1;220
370248;54175;1;NULL
370332;54222;1;30
370775;54566;9;10274
370966;54702;1;390
371005;54732;1;60
371208;54867;1;42
371282;54909;1;130
371328;54929;1;17
371461;55068;2;100
371497;55100;4;3315
371519;55107;2;270
371568;55144;2;217
371593;55154;12;1450
371639;55185;0;1582
371723;55313;1;187
371806;55645;83;66018
371963;55359;1;151
371999;55395;71;40659
372109;55480;23;8980
372110;55487;6;1230
372146;55484;5;4330
372421;55677;1;120
372433;0;1;18
372470;null;1;48
372516;56153;96;60064
372768;56010;3;1022
372852;56025;7;2212
372911;55974;233;92368
373035;56066;69;2950
373059;56073;8;223
373096;56102;1;102
373405;56225;2;166
373513;56251;35;12858
373549;56221;1;29
373550;56254;34;4330
373574;56288;2;3214
373753;56300;18;618
373789;56310;2;1592
373897;56321;2;195
374056;56393;17;799
374140;56472;8;228
374164;56522;3491;420174
374176;56483;2;215
374223;56500;191;26572
374296;56349;3;333
374331;56567;974;309102
374379;56542;4;2190
374426;56586;151;106612
374595;null;31;817
374654;56657;35;8159
374701;56814;458;54706
374713;56671;8;742
374953;56270;11;970
375077;56834;908;123042
375089;56836;6065;137058
132708;29505;2;310
133945;29874;3;514
137059;30365;3;233
147772;32208;1;120
151343;32962;1;50
153743;33391;1;110
156243;39363;0;43
159304;34214;1;39
159938;34301;1;43
163499;35780;2;136
168184;35533;1;340
171810;36128;1;61
172556;36227;1;30
179342;37404;1;770
188531;38833;1;270
318734;39944;2;200
322927;40547;31;16590
322939;40560;1;29
325809;40993;2;381
338639;42908;19;13340
339087;43007;1;340
340697;56709;48;20878
341907;43464;1;540
342367;43403;1;10
344444;43816;1;NULL
345083;55092;4;681
345428;44014;1;43
346092;44155;2;830
347135;44338;2;3215
348012;44422;1;850
348479;44199;1;28
348705;44681;1;250
350905;45309;1;10
354509;46340;1;1390
355185;46972;2;584
356851;46984;2;50
357250;47083;1;18
357262;47085;5;6170
357727;47220;1;240
358209;47723;3;2390
359196;47688;1;550
359399;47769;1;170
359708;47913;1;100
359936;47919;1;144
360698;48064;1;37
362763;48715;1;1190
362917;48760;1;77
364349;49219;1;76
365059;49689;2;660
365106;53232;1;110
365192;49847;1;60
365944;52591;10;350
366081;50511;1;1624
366223;50639;1;NULL
366306;50778;1;182
366367;50755;2;1540
366534;50884;1;60
366990;51420;1;NULL
367136;51726;1;110
367638;52300;1;480
368049;52566;2;3518
368241;52684;1;34
368265;52710;2;2744
368444;52730;1;162
368875;53185;17;32883
368922;53204;1;54
368971;53239;2;832
369071;53455;1;120
369465;53620;2;20
369561;53646;3;70
369656;53711;4;284
369811;54165;2;730
369884;53868;6;2291
370262;54188;1;1400
370740;54547;2;108
370776;54725;1;40
371222;54884;1;30
371246;54887;1;92
371295;54765;24;19275
371342;55023;7;5992
371508;55120;1;116
371582;55147;1;174
371700;55275;18;14602
371712;55230;722;186671
371724;55233;4;210
371736;55235;2;250
371761;55304;4;1741
371785;55263;3;928
371807;55645;143;108833
371820;56569;19;1743
371893;54760;5;668
371940;55352;5;106
371964;55363;2;183
372040;0;1;20
372123;55410;1;3
372243;0;1;40
372292;55572;210;42044
372409;55617;1;92
372566;55759;4;206
372601;55832;1;35
372625;55854;1;40
372637;55867;1;105
372686;55860;1;34
372708;55969;168;22054
372745;0;3;14
372757;55950;11;2090
372828;55860;1;31
372853;55959;15;776
373024;56091;6;1785
373048;56050;2;220
373073;56080;0;102
373107;56105;2;81
373132;56138;2;114
373240;56133;28;4052
373311;56183;2;144
373323;56152;5;1650
373335;56208;1;135
373396;0;2;37
373502;56177;1;150
373599;56277;7;285
373610;56275;3;423
373945;56757;9583;4847202
373969;56337;2;2009
373994;56333;5;104
374070;56757;28605;19765636
374128;56333;5;1422
374452;null;20;382
374511;56615;18;1911
374584;56647;12;1614
374643;56666;8;1848
374655;56664;28;8492
374679;56665;124;15164
374680;56667;58;1855
374702;56687;66;6218
374822;55860;103;18357
374871;56831;5417;517248
374883;56709;64;1639
374905;56737;1;237
374917;56762;251;107775
375149;56862;780;115325
375174;56884;375;396441
38934;12834;1;73
127424;27951;1;30
130562;28929;1;262
137849;48117;1;128
150933;32860;3;346
154035;33438;1;296
318390;39879;1;57
318999;39963;1;50
319266;40009;34;18539
322140;40413;1;470
322499;40409;1;648
328622;41331;1;44
331581;41835;1;529
332386;41926;2;716
332421;null;1;10
332589;41937;1;40
333932;42367;5;1470
334103;42157;1;197
336170;42505;1;460
338092;42823;5;1000
339387;43049;1;323
342189;43527;1;410
342559;49573;2;1376
344301;43844;6;746
346379;44199;6;4680
346426;44096;2;700
348290;44345;1;22
348444;56550;3;3824
348696;44602;1;26
349500;44836;1;220
349967;44934;3;2138
352745;46227;1;1557
352782;45924;3;3210
